domainname,nr_src
anycastdns.ch,43594
viseca.ch,43497
hsbc.ch,43457
style-magazin.ch,43303
fastbooking.ch,43229
hostedsolution.ch,43133
educanet2.ch,43131
hin.ch,43068
entex.ch,42852
energy.ch,42830
so.ch,42709
colgate.ch,42704
movetec-server.ch,42636
thtag.ch,42484
microspot.ch,42474
madeleine-mode.ch,42445
dosenbach.ch,42375
swiss-support.ch,42288
pctipp.ch,42260
fasthosting.ch,42255
graduateinstitute.ch,42197
business-exchange.ch,42093
altea-services.ch,42059
boomte.ch,42038
evensi.ch,41915
distrelec.ch,41830
blickamabend.ch,41799
beobachter.ch,41730
siw.ch,41697
suva.ch,41647
netjump.ch,41603
rolotec.ch,41475
pimpernet.ch,41463
unicible.ch,41453
gr.ch,41436
curaden-hosting.ch,41434
belimo.ch,41415
toysrus.ch,41413
orange.ch,41360
myhostpoint.ch,41351
mouser.ch,41336
escapenet.ch,41334
immomigsa.ch,41226
ch.ch,41057
keeptraffic.ch,40977
aargauerzeitung.ch,40965
wifisolution.ch,40964
webne.ch,40755
messaging.ch,40686
mammut.ch,40602
xn--ae-tja.ch,40587
everyware.ch,40537
finews.ch,40530
football.ch,40515
immostreet.ch,40495
eda.ch,40481
trainline.ch,40414
englishforum.ch,40369
widewalls.ch,40234
rednet.ch,40213
halma-dns.ch,40163
zurich.ch,40049
oris.ch,40049
swisscomdata.ch,39889
idmobile.ch,39831
help.ch,39804
mtfweb.ch,39791
meteoswiss.ch,39763
asturian-network.ch,39700
citrin.ch,39690
hesge.ch,39655
cash.ch,39653
morningstar.ch,39641
spenglercup.ch,39631
wwf.ch,39577
webexpert.ch,39555
cyhost.ch,39524
tremegisto.ch,39507
metas.ch,39487
datawire.ch,39480
yop.ch,39333
alto.ch,39304
rotronic.ch,39287
toppreise.ch,39260
snb.ch,39242
fsit.ch,39196
dellaro.ch,39189
axianet.ch,39172
cyberiade.ch,39119
css.ch,39108
meteoswiss-app.ch,39080
newday.ch,39000
omnis.ch,38909
naefmarco.ch,38795
feelfree.ch,38783
fust.ch,38782
webkeeper.ch,38781
galenica.ch,38765
wapspirit.ch,38735
kbntx.ch,38639
sbbmobile.ch,38563
bl.ch,38547
simplehosting.ch,38535
your-web.ch,38493
practeo.ch,38431
lafourchette.ch,38380
syhost.ch,38361
amenic.ch,38335
cadiware.ch,38262
kdt-hosting.ch,38251
bomm.ch,38251
copperfasten.ch,38211
orcwebhosting.ch,38152
sefanet.ch,38120
wa-research.ch,38102
oekohosting.ch,38096
safemail.ch,38022
sixt.ch,38008
bettybossi.ch,37977
thenet.ch,37961
backbone.ch,37948
sogea.ch,37938
radioswisspop.ch,37926
eye.ch,37924
staticlocal.ch,37923
freitag.ch,37876
intergga.ch,37847
byteworks.ch,37832
wng.ch,37830
holidaycheck.ch,37809
rtp.ch,37806
t-systems.ch,37791
telemedia.ch,37771
adnovum.ch,37759
solodom.ch,37700
triwdata.ch,37681
mediamarkt.ch,37626
orangemail.ch,37594
emmi.ch,37547
liip.ch,37536
berneroberlaender.ch,37536
fri-tic.ch,37535
gurochan.ch,37511
ify.ch,37423
nine-ws.ch,37379
adbw.ch,37349
sesamnet.ch,37311
csem.ch,37300
inware.ch,37292
ecoweb.ch,37276
jse.ch,37225
snd47.ch,37224
schucht.ch,37159
sevitec.ch,37115
cscs.ch,37093
fashionfriends.ch,36978
smallte.ch,36974
fima-hosting.ch,36763
ymc.ch,36731
interdiscount.ch,36633
sarenza.ch,36611
gsinfo.ch,36610
bilanz.ch,36597
valais.ch,36484
bcv.ch,36471
helsana.ch,36291
edreams.ch,36286
a-z.ch,36204
idv.ch,36122
jungfrau.ch,36109
default.ch,36088
point.ch,36073
rtr.ch,36054
zermatt.ch,36039
ntb.ch,36039
allianz-suisse.ch,35978
umb.ch,35951
zooplus.ch,35892
thelocal.ch,35867
watchfreemovies.ch,35746
cinergy.ch,35742
zuonline.ch,35731
besonet.ch,35712
sig.ch,35680
ssatr.ch,35674
bedag.ch,35657
4server.ch,35624
csti.ch,35609
quickline.ch,35575
zugernet.ch,35557
e-park.ch,35524
4host.ch,35492
tchibo.ch,35484
twistednet.ch,35465
westwing.ch,35319
q-x.ch,35304
toweb.ch,35221
pipeline.ch,35209
in4u.ch,35148
siroop.ch,34986
netboot.ch,34985
webkoenig.ch,34960
creants.ch,34921
sdd1.ch,34897
conforama.ch,34892
goldbach-targeting.ch,34884
news.ch,34828
pinoybay.ch,34817
gva.ch,34803
ghi.ch,34775
newsbox.ch,34764
hellofresh.ch,34754
prospective.ch,34687
simplyhired.ch,34674
networking.ch,34650
netgear.ch,34559
fenaco.ch,34551
itexa.ch,34530
aarboard.ch,34469
exlibris.ch,34454
winterthur.ch,34442
sowind.ch,34414
upc-cablecom.ch,34390
talus.ch,34372
netserv.ch,34371
interdesk.ch,34303
nintendo.ch,34266
deindeal.ch,34205
tdh.ch,34168
futurecom.ch,33999
tilllate.ch,33978
wellhosted.ch,33961
bern.ch,33899
nettrust.ch,33887
exenti.ch,33864
robatech.ch,33839
iheid.ch,33828
loginserver.ch,33778
garmin.ch,33775
putlockers.ch,33769
bobbibrown.ch,33763
chrono24.ch,33760
car4you.ch,33704
tomas.ch,33590
myemotions.ch,33529
fcb.ch,33515
amag.ch,33512
srfcdn.ch,33504
xwave.ch,33444
aare-rz.ch,33431
maillink.ch,33419
dvbern.ch,33381
bravofly.ch,33377
zalando-lounge.ch,33366
snf.ch,33328
mangoldpartner.ch,33326
isource.ch,33309
pressel.ch,33241
scnr.ch,33226
rpn.ch,33206
eztv.ch,33170
weserve.ch,33080
langenthalertagblatt.ch,33035
fibl.ch,33033
orellfuessli.ch,33030
vaudoise.ch,32934
qoqa.ch,32919
onebyte.ch,32879
itship.ch,32851
exelinfo.ch,32838
boalingua.ch,32824
innov8.ch,32819
fih.ch,32810
internet-box.ch,32805
bweb.ch,32764
smilla.ch,32759
b-source.ch,32709
wir-koennen-alles.ch,32684
vs.ch,32682
adot.ch,32669
flughafen-zuerich.ch,32657
johngehrig.ch,32647
supsi.ch,32619
xeiro.ch,32584
extratorrents.ch,32559
hugy.ch,32543
hevs.ch,32517
allvid.ch,32483
syselcloud.ch,32481
cdt.ch,32448
cdi.ch,32427
gmos.ch,32419
antanet.ch,32310
supercard.ch,32278
cldns.ch,32256
paus.ch,32235
decweb.ch,32201
netsolution.ch,32160
unizh.ch,32136
ticino.ch,32115
lenouvelliste.ch,32098
momoco.ch,32076
outnow.ch,32054
slf.ch,32038
loterie.ch,32010
rhb.ch,31942
phzh.ch,31935
siemens.ch,31904
live-stream.ch,31899
elby.ch,31880
magnet.ch,31860
vertbaudet.ch,31825
sulzer.ch,31771
netgrouper.ch,31680
editionsatlas.ch,31654
safesear.ch,31623
ghisler.ch,31614
greensector.ch,31578
mitnet.ch,31545
bonprix.ch,31512
mainbase.ch,31496
emp-online.ch,31482
alpha.ch,31402
prohelvetia.ch,31394
unep.ch,31389
concepto.ch,31373
steffeninf.ch,31326
adidas.ch,31314
schweizmobil.ch,31276
mailstation.ch,31274
generali.ch,31273
usatv.ch,31229
jesus.ch,31223
dakutorrents.ch,31218
rero.ch,31198
hommages.ch,31191
schweizerfamilie.ch,31188
statravel.ch,31186
bag.ch,31162
baloise.ch,31130
photografix.ch,31072
rpetri.ch,31047
schweizer-domain.ch,30987
mit.ch,30969
baernerbaer.ch,30909
ifolor.ch,30854
zoover.ch,30806
bally.ch,30804
ocaholic.ch,30707
ecolint.ch,30679
netcase.ch,30654
4webspace.ch,30654
olmero.ch,30649
educa.ch,30613
scout24.ch,30581
bls.ch,30500
neologic.ch,30498
messe.ch,30481
kesako.ch,30453
dynamic-net.ch,30437
webpark.ch,30426
kpmg.ch,30390
green.ch,30382
ackermann.ch,30365
msf.ch,30355
travelgenio.ch,30311
idsia.ch,30286
youthhostel.ch,30283
evolvegroup.ch,30270
ggs.ch,30238
moneypark.ch,30238
lausannecites.ch,30235
fing.ch,30204
hospicegeneral.ch,30202
renovero.ch,30199
epost.ch,30164
icn.ch,30153
tele2.ch,30148
pixelized.ch,30144
bernerbaer.ch,30142
zynex.ch,30139
corner.ch,30113
eawag.ch,30113
into.ch,29977
heberg.ch,29976
clinch.ch,29967
unisi.ch,29959
pilatus-aircraft.ch,29938
horus.ch,29914
spectraweb.ch,29898
cokepopcorn.ch,29866
dravenstales.ch,29862
computerworld.ch,29840
teleboy.ch,29837
quicknet.ch,29799
go4web.ch,29774
20minuti.ch,29751
arcinfo.ch,29720
home.ch,29664
sonntagszeitung.ch,29651
enuvo.ch,29629
tep.ch,29607
deal.ch,29594
newsnet.ch,29589
hosttown.ch,29563
vtxnet.ch,29520
marionnaud.ch,29486
parship.ch,29482
opodo.ch,29409
thurweb.ch,29405
directferries.ch,29389
jobwinner.ch,29361
dns1.ch,29348
hotelscombined.ch,29339
titolo.ch,29270
romande-energie.ch,29256
zg.ch,29251
ceoo.ch,29249
mobi.ch,29246
domainhost.ch,29204
rcv.ch,29186
sihf.ch,29168
cede.ch,29159
disneylandparis.ch,29134
swissdigicert.ch,29124
finma.ch,29123
abacus.ch,29048
dplanet.ch,29043
united-security-providers.ch,29006
lesobservateurs.ch,28967
presseportal.ch,28922
leregional.ch,28891
crossair.ch,28862
ssm.ch,28854
ammann-it.ch,28825
anorg.ch,28791
trafficwave.ch,28789
otakumole.ch,28766
maserati.ch,28732
bantigerpost.ch,28728
pearsoft.ch,28711
menkisys.ch,28691
pfister.ch,28681
siemens-sbs.ch,28681
worldsoft.ch,28679
dns-cloud.ch,28666
giordano.ch,28657
unhcr.ch,28656
sitrox.ch,28655
wa-network.ch,28646
ticino-online.ch,28633
ria.ch,28619
mobilezone.ch,28602
woody.ch,28591
waffles.ch,28583
my-store.ch,28568
guideloisirs.ch,28550
10g.ch,28535
planetfun.ch,28533
tkcloud.ch,28504
alienware.ch,28494
mc4web.ch,28483
dns2.ch,28467
sourcepole.ch,28443
sciencetool.ch,28443
deloitte.ch,28441
animeget.ch,28418
journaldemorges.ch,28411
1ahostingpro.ch,28405
lemo.ch,28391
hotelplan.ch,28378
hes-so.ch,28378
axone.ch,28366
jelmoli-shop.ch,28336
afraworld.ch,28322
yplay.ch,28296
prevosti.ch,28287
securedns.ch,28278
newhome.ch,28252
postshop.ch,28222
wion.ch,28220
glaronia.ch,28202
manyways.ch,28171
jobsuchmaschine.ch,28167
jura.ch,28162
kiehls.ch,28157
zenvoo.ch,28143
smarthosting.ch,28142
web-d-vision.ch,28133
ftia.ch,28104
baz.ch,28088
axa-winterthur.ch,28072
primewire.ch,28069
clarins.ch,28064
interactivebrokers.ch,28039
computech-rz.ch,28009
swisscard.ch,27991
unisource.ch,27974
steg-electronics.ch,27958
toshiba.ch,27948
isi.ch,27903
bison-its.ch,27875
sitenable.ch,27870
mac-web.ch,27856
sctv.ch,27849
cloudcluster.ch,27825
corum.ch,27784
