domainname,nr_asn
rro.ch,4902.0
davos.ch,4901.0
insign.ch,4899.0
1a-websolutions.ch,4898.0
domains.ch,4898.0
aviation.ch,4896.0
chopard.ch,4894.0
dnstools.ch,4893.0
hosttown.ch,4889.0
ifolor.ch,4886.0
dellaro.ch,4878.0
feiertagskalender.ch,4875.0
mail.ch,4863.0
nettoshop.ch,4859.0
tineonet.ch,4857.0
corner.ch,4854.0
liip.ch,4853.0
naefmarco.ch,4853.0
zvv.ch,4849.0
publicitas.ch,4845.0
internet-box.ch,4841.0
ticketmaster.ch,4839.0
active.ch,4835.0
video2000.ch,4831.0
dasmagazin.ch,4826.0
into.ch,4821.0
groupemutuel.ch,4821.0
ticino.ch,4819.0
cumari.ch,4818.0
fhsg.ch,4817.0
autolina.ch,4811.0
nashagazeta.ch,4810.0
zimi.ch,4808.0
bls.ch,4805.0
eta.ch,4803.0
dns2.ch,4801.0
mc4web.ch,4799.0
hes-so.ch,4796.0
hugy.ch,4787.0
danuserwebservice.ch,4783.0
conforama.ch,4780.0
bookie.ch,4771.0
ncag.ch,4770.0
lehner-versand.ch,4764.0
simnetsa.ch,4763.0
kiehls.ch,4762.0
mycloud.ch,4757.0
bilan.ch,4756.0
unilu.ch,4755.0
itds.ch,4753.0
cldns.ch,4745.0
popnet.ch,4745.0
laureate.ch,4732.0
melectronics.ch,4732.0
gkb.ch,4730.0
railtour.ch,4729.0
spectraweb.ch,4725.0
laliberte.ch,4724.0
spee.ch,4716.0
xn--ae-tja.ch,4708.0
scnr.ch,4708.0
bomm.ch,4707.0
wootly.ch,4707.0
pixelized.ch,4705.0
baz.ch,4699.0
web-alm.ch,4694.0
zuerich.ch,4689.0
web-d-vision.ch,4689.0
swinog.ch,4685.0
live-stream.ch,4683.0
lexo.ch,4679.0
sciencetool.ch,4672.0
brabbel.ch,4671.0
ticino-online.ch,4667.0
cardcenter.ch,4653.0
zugernet.ch,4652.0
ilef.ch,4646.0
comotive.ch,4642.0
visual-fantastix.ch,4635.0
goline.ch,4631.0
schweizer-messebau.ch,4630.0
manyways.ch,4627.0
solique.ch,4615.0
loro.ch,4609.0
appuioapp.ch,4608.0
flughafen-zuerich.ch,4603.0
q-x.ch,4602.0
magnet.ch,4602.0
centralnet.ch,4601.0
connects.ch,4598.0
edificom.ch,4594.0
mediscope.ch,4593.0
derendinger.ch,4583.0
dcinet.ch,4576.0
pearsoft.ch,4574.0
edarling.ch,4572.0
kauftipp.ch,4564.0
clinch.ch,4559.0
torch.ch,4558.0
computech-rz.ch,4558.0
l7datacenter.ch,4556.0
fintechnews.ch,4555.0
migrosbank.ch,4549.0
bausch-lomb.ch,4549.0
vnv-hosting.ch,4548.0
ballwatch.ch,4546.0
ville-geneve.ch,4538.0
sag-ag.ch,4535.0
rigilan.ch,4535.0
aarboard.ch,4532.0
axa-winterthur.ch,4527.0
telebasel.ch,4522.0
gmos.ch,4521.0
nte.ch,4520.0
gawnet.ch,4515.0
postshop.ch,4513.0
swoodoo.ch,4506.0
onax.ch,4506.0
ebookhunter.ch,4505.0
tripmode.ch,4503.0
gmmdns.ch,4490.0
eesp.ch,4489.0
sulzer.ch,4485.0
calyps.ch,4478.0
cadiware.ch,4475.0
ddnss.ch,4472.0
hug-ge.ch,4470.0
adlershop.ch,4466.0
bgdi.ch,4462.0
leuchterag.ch,4461.0
